kod_produktu;nazov;rozmer;cena;popis;farba
vd001;Spomíname;12 cm;0,40;spomíname;čierna,sivá,hnedá
vd002;Spomíname;17 cm;0,65;;
vd003;S láskou spomíname anjel;12 cm;0,75;;
vd004;Srdce s láskou spomíname;11 cm;1,05;;
vd005;S láskou spomíname list + srdce;15 cm;1,35;;
vd006;Kríž spomíname;15 cm;1,15;;
vd007;Odpočívaj v pokoji;12 cm;0,80;;
vd008;Kríž spomíname malý;10 cm;0,55;;zelená,modrá,fialová
vd009;Chýbaš nám;12 cm;0,75;;
vd010;Chýbate nám;12 cm;0,75;;
vd011;Spomíname ceduľka tip 1;12 cm;0,80;;oranžová,hnedá
vd012;Spomíname ceduľka tip 2;10 cm;0,75;;
vd013;Spomíname ceduľka tip 3;12 cm;0,85;;
cl001;Vitajte;16 cm;0,90;;
cl002;Vitajte;15 cm;0,50;;
cl003;Domov;19 cm;0,80;;
cl004;Domov srdiečka;16 cm;0,70;;
cl005;Sladký domov;11x10 cm;1,10;;
cl006;Náš domov;16 cm;0,75;;
cl007;Šťastný domov;17 cm;0,90;;
cl008;Milujem ťa;15 cm;0,60;
cl009;Všetko najlepšie;11 cm;0,65;;
cl010;Všetko najlepšie zápich;15x11 cm;1,30;;
cl011;Narodeninové čísla;7x9 cm;0,90;;
cl012;Srdce ľúbim ťa;10x8 cm;1,05;;
vn001;Čarovné Vianoce;16 cm;0,85;;
vn002;Rozprávkové Vianoce;17 cm;0,75;;
vn003;Kúzelné Vianoce;14x5 cm;0,75;
vn004;Veselé Vianoce;18 cm;1,80;;
vn005;Stromček;13 cm;4,70;;
vn006;Vločka;8x8 cm;0,45;;
vn007;Trpaslík;8 cm;0,90;;
vn008;Jeleň guľa;8 cm;0,75;;
vn009;Anjel guľa;8 cm;0,75;;
vn010;Anjel;7x6 cm;0,60;;
vn011;Anjel trumpeta;7x7 cm;0,60;;
vn012;Snehuliak;10x8 cm;1,10;;
